PERSON_AGE,VEHICLE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,PERSON_ID,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
57.0,19822030.0,4380776.0,01/01/2021,04:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,M,Occupant,,,Trapped,Internal,Apparent Death,11ae594f-5608-42af-a305-ed3c92966f6e,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
60.0,19822030.0,4380776.0,01/01/2021,04:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,F,Occupant,,,Trapped,Internal,Apparent Death,5778eba8-e9d4-4cd4-80e5-d1fdf9bcb443,,Driver,Driver,,Killed
40.0,0.0,4381003.0,02/01/2021,22:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Severe Bleeding,Apparent Death,052c79d8-f5bc-4074-b206-10e0b066b7c4,Unspecified,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
4.0,0.0,4381540.0,04/01/2021,09:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Crush Injuries,Apparent Death,6ae21757-465f-49e3-99e9-649e79ec0103,Unspecified,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
26.0,19844355.0,4390593.0,06/01/2021,14:00,Abdomen - Pelvis,Helmet (Motorcycle Only),M,Bicyclist,,,Not Ejected,Internal,Apparent Death,b72b1404-cc60-4e20-bf3e-5439933e8598,,Driver,Driver,,Killed
29.0,19856537.0,4382059.0,07/01/2021,00:00,Head,None,M,Bicyclist,,,Not Ejected,Internal,Apparent Death,25ce8096-ee92-4e71-b7f9-90e8b546a0af,,Riding/Hanging on Outside,Driver,,Killed
74.0,20077856.0,4382929.0,07/01/2021,12:00,Unknown,Unknown,M,Occupant,,,Not Ejected,Internal,Unconscious,5516e552-a60b-4355-9dcd-c44c9f05fcb7,,Driver,Driver,,Killed
16.0,19830661.0,4383881.0,07/01/2021,14:00,Entire Body,Unknown,M,Occupant,,,Ejected,Crush Injuries,Apparent Death,fe15c5e3-03ff-4361-8b52-a8e16ce0104d,,Driver,Driver,,Killed
86.0,0.0,4383926.0,13/01/2021,13:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Unknown,Conscious,27c6d261-eaf7-4905-982b-a0125901c018,Unspecified,,Pedestrian,Crossing With Signal,Killed
81.0,0.0,4384065.0,14/01/2021,15:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Complaint of Pain or Nausea,Apparent Death,8914628e-0494-4d6d-8d7d-d36abc5a5a73,Alcohol Involvement,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
