,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PERSON_INJURY
0,0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,22.0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,43.0,2,1,0,1,1,1,1,1,0,1,1,0
3,0,0,68.0,0,0,1,0,0,0,0,0,0,0,2,0
4,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,24.0,3,1,1,1,1,1,1,0,0,1,1,0
6,0,0,26.0,4,2,0,2,0,0,0,0,0,0,0,0
7,0,0,60.0,5,3,0,0,0,0,0,0,0,0,0,0
8,0,0,32.0,3,1,0,1,1,1,1,0,0,1,1,0
9,0,0,19.0,5,1,1,1,1,1,1,2,0,1,1,0
10,0,0,48.0,6,1,0,1,1,2,1,0,0,2,1,0
11,0,0,20.0,2,1,0,1,1,1,1,3,0,1,1,0
12,0,0,29.0,7,3,0,0,0,0,0,0,0,0,3,0
13,0,0,59.0,7,3,1,0,0,0,0,0,0,0,2,0
14,0,0,25.0,8,0,0,0,0,0,0,0,0,0,0,0
15,0,0,61.0,4,1,1,1,1,1,1,0,0,1,1,0
16,0,0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,26.0,0,4,0,0,0,0,0,4,0,0,0,0
18,0,0,35.0,2,0,0,0,0,0,0,0,0,0,0,0
19,0,0,33.0,2,0,0,0,0,0,0,3,0,0,0,0
20,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,27.0,0,0,0,0,0,0,0,0,0,0,2,0
22,0,0,57.0,6,3,0,0,0,0,2,5,1,0,2,1
23,0,0,60.0,6,3,1,0,0,0,2,5,1,0,0,1
24,0,0,33.0,5,5,0,0,0,0,0,6,0,0,4,0
25,0,0,38.0,0,0,1,0,0,0,0,2,0,0,0,0
26,0,0,21.0,0,3,0,0,0,0,0,0,0,0,3,0
27,0,0,29.0,4,5,0,2,0,0,3,0,0,0,0,0
28,0,0,30.0,5,0,0,0,0,0,0,7,0,0,0,0
29,0,0,29.0,0,6,0,0,0,0,0,0,0,0,0,0
30,0,0,21.0,0,3,0,0,0,0,0,0,0,0,5,0
31,0,0,27.0,5,6,1,0,0,0,0,6,2,0,2,0
32,0,0,32.0,9,6,0,0,0,0,0,6,2,0,0,0
33,0,0,42.0,6,6,0,0,0,0,0,0,0,0,0,0
34,0,0,27.0,7,0,0,0,0,0,0,0,0,0,3,0
35,0,0,45.0,7,0,1,0,0,0,0,0,0,0,5,0
36,0,0,20.0,4,1,0,1,2,1,1,8,0,1,1,0
