UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11537291,01/01/2021,DAWN,37.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539900,01/01/2021,DAWN,22.0,5.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540318,01/01/2021,DAWN,43.0,5.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11537289,01/01/2021,DAWN,68.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11541732,01/01/2021,DAWN,22.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11542768,01/01/2021,DAWN,24.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11549368,01/01/2021,DAWN,26.0,3.0,8.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11744559,01/01/2021,DAWN,60.0,10.0,10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539678,01/01/2021,DAWN,32.0,3.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11537247,01/01/2021,DAWN,19.0,10.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11537420,01/01/2021,DAWN,48.0,9.0,-10.0,M,3,5,39.0,0,20.0,3.0,39.0,-10.0,4,4.0,Injured
11537246,01/01/2021,DAWN,20.0,5.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11744560,01/01/2021,DAWN,29.0,7.0,10.0,M,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11744561,01/01/2021,DAWN,59.0,7.0,10.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
