UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11537291,65.0,3.0,37.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539900,65.0,3.0,22.0,7.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11540318,65.0,3.0,43.0,8.0,8.0,M,2.0,2.0,38.0,3.0,16.0,7.0,38.0,9.0,2.0,15.0,Injured
11537289,65.0,3.0,68.0,11.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11541732,65.0,3.0,22.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11542768,65.0,3.0,24.0,5.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11549368,65.0,3.0,26.0,12.0,6.0,M,1.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11744559,65.0,3.0,60.0,10.0,5.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539678,65.0,3.0,32.0,5.0,8.0,M,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11537247,65.0,3.0,19.0,10.0,8.0,F,2.0,2.0,38.0,3.0,17.0,7.0,38.0,9.0,2.0,15.0,Injured
11537420,65.0,3.0,48.0,9.0,8.0,M,2.0,2.0,31.0,3.0,18.0,7.0,33.0,9.0,2.0,13.0,Injured
11537246,65.0,3.0,20.0,8.0,8.0,M,2.0,2.0,38.0,3.0,15.0,7.0,38.0,9.0,2.0,15.0,Injured
11744560,65.0,3.0,29.0,13.0,5.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11744561,65.0,3.0,59.0,13.0,5.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11545908,65.0,3.0,25.0,6.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539117,65.0,3.0,61.0,12.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11537326,65.0,3.0,33.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537531,65.0,3.0,26.0,11.0,8.0,M,3.0,3.0,39.0,4.0,8.0,7.0,39.0,10.0,4.0,16.0,Injured
11539689,65.0,3.0,35.0,8.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537321,65.0,3.0,33.0,8.0,9.0,M,3.0,3.0,39.0,4.0,15.0,7.0,39.0,10.0,4.0,16.0,Injured
11537323,65.0,3.0,24.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537324,65.0,3.0,27.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11537388,65.0,3.0,57.0,9.0,5.0,M,3.0,3.0,39.0,0.0,10.0,1.0,39.0,8.0,3.0,16.0,Killed
11537390,65.0,3.0,60.0,9.0,5.0,F,3.0,3.0,39.0,0.0,10.0,1.0,39.0,10.0,4.0,16.0,Killed
11537392,65.0,3.0,33.0,10.0,7.0,M,3.0,3.0,39.0,4.0,7.0,7.0,39.0,3.0,3.0,16.0,Injured
11537504,65.0,3.0,38.0,11.0,9.0,F,3.0,3.0,39.0,4.0,17.0,7.0,39.0,10.0,4.0,16.0,Injured
11539207,65.0,3.0,21.0,11.0,5.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11539677,65.0,3.0,29.0,12.0,7.0,M,1.0,3.0,39.0,2.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537528,65.0,3.0,30.0,10.0,9.0,M,3.0,3.0,39.0,4.0,13.0,7.0,39.0,10.0,4.0,16.0,Injured
11539737,65.0,3.0,29.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539206,65.0,3.0,21.0,11.0,5.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,6.0,3.0,16.0,Injured
11540980,65.0,3.0,27.0,10.0,9.0,F,3.0,3.0,39.0,4.0,7.0,3.0,39.0,8.0,3.0,16.0,Injured
11540982,65.0,3.0,32.0,3.0,9.0,M,3.0,3.0,39.0,4.0,7.0,3.0,39.0,10.0,4.0,16.0,Injured
11540977,65.0,3.0,42.0,9.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537347,65.0,3.0,27.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11537477,65.0,3.0,45.0,13.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,6.0,3.0,16.0,Injured
11537332,65.0,3.0,20.0,12.0,8.0,M,2.0,3.0,38.0,3.0,11.0,7.0,38.0,9.0,2.0,8.0,Injured
